Product Name,Image,Sub - Category,Potential Supplier,Supplier Model Number,Heyzack Refeance Number,MOQ,SALES PRICE,Price,Order Price,Launchboom,Specification,Features,Communication Protocol,Power Source,Specs-final,Main Catagory 
Smart Door Windows Sensor -WiFi,,Smart Sensors ,Tuaon,GS-DWSW,,"9,75 €","58,50 €",3.5,,Yes,"Dual mode WiFi+ Bluetooth is more stable and faster
【 Sound and light alarm 】80DB sound alarm and red light warning to scare away intruders
-- [Multiple mode selection] You can choose with light alarm sound, no light alarm sound, no light alarm sound, light
alarm sound. A variety of options, suitable for a variety of scenarios, time use.
- [Alarm duration] can be manually set within 5 seconds to 180 seconds.
-- [APP remote control] Remote setup and disarming through mobile APP at any time
- [One-key defense] You can set one-key defense, which is more convenient to use.
- [Voice control] When used with Amazon Alexa and Google Home, you can check whether the doors and Windows
are open or closed
-- [Sharing function] Share with family, common control
-- [Offline function] When the device is offline, the APP will remind the device to be offline after 30 minutes
-- [Low battery reminder function] The product uses 2 AAA batteries (not included), when the battery is low, the phone
will remind you to replace the battery
-- [History] You can check the time the doors and Windows were opened to see if anyone else entered the house","1. Know the instant a door or window opens, so you can relax upstairs while the kids play outside without constantly checking on them.
2. Scare off unwanted visitors with an 80 dB siren and flashing red light the moment entry is tried, giving you time to call for help instead of walking into a break-in.
3. Arm or disarm every sensor from your phone while you’re still in bed or already at work—no extra hub, no second trip downstairs.
4. Get a low-battery nudge on your phone instead of a dead sensor when you’re miles away, so the protection you count on never quietly quits.
5. Share control with family in seconds, so everyone gets the same alerts and nobody wonders “Did you lock up?” before turning in for the night.",Wifi / Bluetooth,AAA batteries,"Dual mode WiFi+ Bluetooth is more stable and faster | Sound and light alarm: 80DB sound alarm and red light warning to scare away intruders | Multiple mode selection: You can choose with light alarm sound, no light alarm sound, no light alarm sound, light alarm sound. A variety of options, suitable for a variety of scenarios, time use. | Alarm duration: can be manually set within 5 seconds to 180 seconds. | APP remote control: Remote setup and disarming through mobile APP at any time | One-key defense: You can set one-key defense, which is more convenient to use. | Voice control: When used with Amazon Alexa and Google Home, you can check whether the doors and Windows are open or closed | Sharing function: Share with family, common control | Offline function: When the device is offline, the APP will remind the device to be offline after 30 minutes | Low battery reminder function: The product uses 2 AAA batteries (not included), when the battery is low, the phone will remind you to replace the battery | History: You can check the time the doors and Windows were opened to see if anyone else entered the house",Security
Smart Door Windows Sensor,,Smart Sensors ,"Wenhui, Tuaon",zigbee-doorsensor-wenhui(13),,"100,00 €","600,00 €",3.5,,,"·Zigbee3.0 wireless protocol·Highly sensitive Hall sensor, detects door opening/closing·One-touch quick device addition·Extremely long standby time·Multi-scenario installation and use·Supports intelligent linkage with other devices·Easy to install and easy to useProduct name: Zigbee door and window sensor Wireless protocol: Zigbee 3.0 Working voltage: 3V Sensing distance: ≥15mm Standby current: ≤4uA Battery type: CR2032 Standby time: ≥12 months Working temperature: -10～55℃ Working humidity: 0%～99%RH Wireless distance: ≥100 meters (open distance) Installation: 3M adhesive Product net weight: 25g Product size: 50×25×11mm 30×15×10mm","1. Know every door and window is shut tight the moment you turn off the lights, because the sensor quietly confirms it’s closed—no second-guessing while you’re in bed.
2. Get an instant heads-up on your phone if someone opens a door or window, so you can act before an intruder gets farther than the welcome mat.
3. Skip battery chores for a full year; the tiny coin cell inside keeps watch so you don’t have to remember another maintenance date.
4. Pair it with a smart plug and lamp so the lights switch off automatically when you close up, trimming wasted electricity without lifting a finger.
5. Stick it on any frame in seconds—no screws, no wires—and relax knowing the sleek sensor blends in and stays put through heat, cold, or steamy bathrooms.",,,"Product name: Zigbee door and window sensor | Wireless protocol: Zigbee 3.0 | Working voltage: 3V | Sensing distance: ≥15mm | Standby current: ≤4uA | Battery type: CR2032 | Standby time: ≥12 months | Working temperature: -10～55℃ | Working humidity: 0%～99%RH | Wireless distance: ≥100 meters (open distance) | Installation: 3M adhesive | Product net weight: 25g | Product size: 50×25×11mm 30×15×10mm | Zigbee3.0 wireless protocol | Highly sensitive Hall sensor, detects door opening/closing | One-touch quick device addition | Extremely long standby time | Multi-scenario installation and use | Supports intelligent linkage with other devices | Easy to install and easy to use",Security
Smart Motion Sensor - WIFI,,Smart Sensors ,Tuaon,GS--ZP001-Wifi,,"3,50 €","21,00 €",7.50,,Yes,"Detection distance: 5 m
Detection angle: 150 degrees
Battery specifications: AAA1.5V x 3
Working temperature: -10-45℃
Working humidity: 10%-90%RH (no condensation)","1. Know the moment your kids slip downstairs for a midnight snack—its wide 150° view covers the whole hallway so you can rest easy.
2. Cut false alarms and wasted trips to the door; the 5 m range spots real movement without reacting to every leaf outside.
3. Forget hard-wiring—three AAA batteries keep it running for months, freeing you from drills and electricians.
4. Trust it to watch the garage through summer heat or winter cold; it works from 14 °F to 113 °F so your home stays guarded year-round.
5. Set it up in minutes and let automation turn lights on as you enter, saving energy when rooms sit empty and saving you from fumbling for switches.",Wifi,AAA batteries,Detection distance: 5 m | Detection angle: 150 degrees | Battery specifications: AAA1.5V x 3 | Working temperature: -10-45℃ | Working humidity: 10%-90%RH (no condensation),Security
Smart Motion Sensor - WIFI,,Smart Sensors ,Wenhui,Zigbee Motion detection Sensor PIR+LUX(6),,"7,50 €","45,00 €",11.50,,,"Product name: Zigbee light + human motion sensor Wireless protocol: Zigbee 3.0 Sensing range: ≥135 ° Sensing distance: ≥10m Standby current: ≤12uA Working voltage: 3V Battery type: AA~A x2 Light range: 0 4000LUX Accuracy: 50LUX Standby time: ≥24 months Working temperature: -10～55℃ Working humidity: 0%～99%RH Wireless distance: ≥100 meters (open distance) Installation: 3M adhesive Product net weight: 22g Product size 72×32×18mm, ·Zigbee3.0 wireless protocol·Detect light in the environment·Support custom lighting ranges and intelligent linkage devices·Quickly add devices with one click·Highly sensitive infrared detection detectors for more accurate detection·Adopt airflow suppression technology to avoid false alarms in complex environments·Quickly detect human movement to avoid detection delays and omissions·Extremely long standby time·Support intelligent linkage with other devices·Multi-scenario use·Easy to install and easy to use","1. Walk into any room and the lights turn on by themselves, so you never fumble for a switch when your hands are full.
2. Get an instant phone alert if motion shows up while you’re away, giving you time to check in before anything happens.
3. The sensor tells the lights to shut off when no one’s around, trimming your energy bill without you remembering a thing.
4. Two-year battery life means no climbing ladders or hunting for tiny screws—just peel, stick, and forget it exists.
5. It ignores pets and passing cars, so your lights and alerts only fire when a person actually steps in—no more 3 a.m. false alarms.",,,Product name: Zigbee light + human motion sensor | Wireless protocol: Zigbee 3.0 | Sensing range: ≥135 ° | Sensing distance: ≥10m | Standby current: ≤12uA | Working voltage: 3V | Battery type: AA~A x2 | Light range: 0 4000LUX | Accuracy: 50LUX | Standby time: ≥24 months | Working temperature: -10～55℃ | Working humidity: 0%～99%RH | Wireless distance: ≥100 meters (open distance) | Installation: 3M adhesive | Product net weight: 22g | Product size: 72×32×18mm | Zigbee3.0 wireless protocol | Detect light in the environment | Support custom lighting ranges and intelligent linkage devices | Quickly add devices with one click | Highly sensitive infrared detection detectors for more accurate detection | Adopt airflow suppression technology to avoid false alarms in complex environments | Quickly detect human movement to avoid detection delays and omissions | Extremely long standby time | Support intelligent linkage with other devices | Multi-scenario use | Easy to install and easy to use,Security
Smart motion sensor ceiling mounted mm wave(4),,Smart Sensors ,Wenhui,"Zigbee millimeter wave human presence sensor (2 in 1, ceiling mounted) 24g (Zigbee human presence sensor AC 100-250V)(4)",,"11,50 €","69,00 €",9.50,,,Product name: Human presence detector Wireless protocol: Zigbee3.0 Millimeter wave module: 24GHZ/5.8GHZ Optional temperature range: -10～55℃ Humidity range: 0%～~99%RH Working voltage: AC8~5 250V Light detection value: 0 ~3000 LUX Static detection distance 0~6 meters Motion detection distance 0 10 meters Sensing angle: >90 degrees Wireless distance: ≥100 meters (open distance) Product net weight: 27g Product size: 60×60×38mm,"1. Lights turn on the moment you step into the room and off when you leave, so you never fumble for switches again.
2. Know the kids made it home safe—get an instant alert the second someone walks through the door, even if you’re upstairs.
3. Cut wasted power: heating and AC pause when no one’s been in the room for minutes, trimming your energy bill without a second thought.
4. One tiny ceiling disk watches the whole space—no drilling shelves or corner tables—so your rooms stay clean and clutter-free.
5. Works in any room, from steamy bathroom to freezing garage, for years without battery swaps or maintenance headaches.",,,Product name: Human presence detector | Wireless protocol: Zigbee3.0 | Millimeter wave module: 24GHZ/5.8GHZ | Optional temperature range: -10～55℃ | Humidity range: 0%～99%RH | Working voltage: AC85~250V | Light detection value: 0~3000 LUX | Static detection distance: 0~6 meters | Motion detection distance: 0~10 meters | Sensing angle: >90 degrees | Wireless distance: ≥100 meters (open distance) | Product net weight: 27g | Product size: 60×60×38mm,Security
Smart motion sensor mm wave(5) human presence sensor ,,Smart Sensors ,Wenhui,"Zigbee human presence sensor 24GHz +PIR+LUX,On Battery",,"9,50 €","57,00 €",11.50,,,Product name: Zigbee light + human motion sensor Wireless protocol: Zigbee 3.0 Sensing range: ≥135 ° Sensing distance: ≥10m Standby current: ≤12uA Working voltage: 3V Battery type: AA~A x2 Light range: 0 4000LUX Accuracy: 50LUX Standby time: ≥24 months Working temperature: -10～55℃ Working humidity: 0%～99%RH Wireless distance: ≥100 meters (open distance) Installation: 3M adhesive Product net weight: 22g Product size 72×32×18mm,"1. Know the hallway’s lit before your feet hit the floor, because the 135° eye turns the light on the moment you step out.
2. Walk anywhere within 30 ft and the sensor still sees you, so one tiny device covers an entire open kitchen or stairwell.
3. Forget battery chores for two full years—twice as long as most remotes—so “change the batteries” never sneaks onto your weekend list.
4. The light stays off when sun’s already pouring in, shaving wasted watts and trimming the electric bill without you touching a switch.
5. Peel, stick, done: no screws, no wires, no tools—just two AAAs and three minutes to make any room feel like it knows you’re there.",,,Product name: Zigbee light + human motion sensor | Wireless protocol: Zigbee 3.0 | Sensing range: ≥135 ° | Sensing distance: ≥10m | Standby current: ≤12uA | Working voltage: 3V | Battery type: AA~A x2 | Light range: 0 4000LUX | Accuracy: 50LUX | Standby time: ≥24 months | Working temperature: -10～55℃ | Working humidity: 0%～99%RH | Wireless distance: ≥100 meters (open distance) | Installation: 3M adhesive | Product net weight: 22g | Product size 72×32×18mm,Security
Smart Water Valve,,Smart Sensors ,Tuaon,ZIG-LZ,,"11,50 €","69,00 €",10.51,,,"1）Valve pressure：1.6MPA
2） Rated torque: 30-60kg.CM
3）Rated speed:76rpm
4） Scheduled time for start and stop.
5） Low noise.
6） Auto stop when blocked.
7) Support Amazon Echo voice control.","1. Skip the crawl under the sink—ask Alexa to shut off the water while you’re finishing dinner and the leak stops before your floor warps.
2. Set it once and the valve quietly opens every Saturday at 7 a.m. to fill the pool, then closes itself—no more calendar reminders or second trips outside.
3. If something blocks the pipe, it shuts off automatically, so a stuck sprinkler head won’t turn your basement into a wading pool while you’re at work.
4. The motor is no louder than a fridge hum, so you can park it by the bedroom wall and still sleep through the night when it cycles.
5. One voice command turns every tap in the house off when you leave for vacation—no tour of rooms, no “did I hit the valve downstairs” doubt on the way to the airport.",,,Valve pressure: 1.6MPA | Rated torque: 30-60kg.CM | Rated speed: 76rpm | Scheduled time for start and stop | Low noise | Auto stop when blocked | Support Amazon Echo voice control,Security
Smart Gas sensor,,Smart Sensors ,Tuaon,G8-225Z,,"10,51 €","63,06 €",10.30,,,"Zigbee standard: Zigbee 3.0
Detection gas: Liquefied gas, natural gas
Alarm concentration: 8%LEL methane (natural gas)
Concentration error: ±3%LEL
Alarm method: sound and light alarm, mobile phone notification
Built-in siren: ≥80dB
Power input: DC 5V/1A
Working temperature: -10～55℃
Wireless distance: ≥50 meters (open distance)
Installation: 3M glue/screw fixation
Product net weight: 68g
Product size: Φ86×29mm","1. Know the moment gas leaks before it reaches danger, so you can open a window and get everyone out instead of coming home to a crisis.
2. Hear an 80 dB alarm anywhere in the house—even upstairs with the TV on—so you wake up or rush in fast enough to act.
3. Get the same alert on your phone when you’re at work or soccer practice, so you can call a neighbor or the fire crew instead of wondering all the way home.
4. Skip wires and drilling; stick it on the wall in two minutes and still trust it to watch the kitchen for years through cold winters and steamy summers.
5. Rest easy knowing it only cries wolf when methane hits 8% LEL—accurate to ±3%—so every alert is real, and silence truly means safe.",,,"Zigbee standard: Zigbee 3.0 | Detection gas: Liquefied gas, natural gas | Alarm concentration: 8%LEL methane (natural gas) | Concentration error: ±3%LEL | Alarm method: sound and light alarm, mobile phone notification | Built-in siren: ≥80dB | Power input: DC 5V/1A | Working temperature: -10～55℃ | Wireless distance: ≥50 meters (open distance) | Installation: 3M glue/screw fixation | Product net weight: 68g | Product size: Φ86×29mm",Security
Smart Smoke sensor,,Smart Sensors ,Tuaon,GS441SM / Zigbee,,"10,30 €","61,80 €",7.30,,,"Tuya cloud platform APP alarm information push.
High sensitivity, low power consumption, strong stability.
Ultra long life battery power supply.
Install to use, no wiring plug trouble.
Ceiling installation.
Live alarm with ultra loud buzzer.
360*all-round alarm.
ABS flame retardant shell material.
Using high-performance microprocessor.
Specification:
Power supply: DC9Valkaline battery (6LR61/9V)
Quiescent current: <10uA(wifi) <20uA(independent)
Alarm current: <100mA(wifi)<150mA(independent)
Sensitivity:0.05~2.0dB/m(independent)
Working temperature: 0~+50°C
Relative humidity: ≤95%RH, no condensation
Alarm sound:>80dB
Battery low voltage alarm:<7.0V±0.2V, Product size: 107x107x48mm(LxHxD)","1. Hear a clear 80 dB tone from any room the instant smoke appears, so everyone gets out fast without second-guessing.
2. Get an instant phone alert even when you’re at work, giving you time to call neighbors or 911 before damage spreads.
3. Skip electrician bills and ceiling holes—twist it on like a smoke-bulb and the 9 V battery keeps watch for years with no cords.
4. Forget weekly chirp checks; the sensor quietly watches for low battery and pings your phone only when it actually needs a swap.
5. Rest easy knowing the flame-retardant shell and all-round detection quietly stand guard, so comfort at home stays uninterrupted.",,,"Tuya cloud platform APP alarm information push | High sensitivity, low power consumption, strong stability | Ultra long life battery power supply | Install to use, no wiring plug trouble | Ceiling installation | Live alarm with ultra loud buzzer | 360*all-round alarm | ABS flame retardant shell material | Using high-performance microprocessor | Power supply: DC9Valkaline battery (6LR61/9V) | Quiescent current: <10uA(wifi) <20uA(independent) | Alarm current: <100mA(wifi)<150mA(independent) | Sensitivity:0.05~2.0dB/m(independent) | Working temperature: 0~+50°C | Relative humidity: ≤95%RH, no condensation | Alarm sound:>80dB | Battery low voltage alarm:<7.0V±0.2V | Product size: 107x107x48mm(LxHxD)",Security
IR Universal Remote Control - zigbee (battery),,Smart Sensors ,Tuaon,UFO-R11,,"7,30 €","43,80 €",9.17,,,"Input power: 3A battery x2
Standby power: ≤0.5W
Control distance: ≤8m (finally affected by the environment)
Infrared frequency: 38KHZ
Working temperature: 0°C~50°C
Working humidity: ≤85% RH (no condensation)
Wireless protocol: Zigbee
Executive standard: GB/T9254- -2008
Product Size:
68x68x27mm","1. Replace a coffee-table full of remotes with one small puck that lives on the wall and never gets lost between cushions.
2. Turn every old AC, fan, or heater into a smart device you can run from bed—no rewiring, no apps open, just tap and sleep.
3. Leave the room without leaving the remote behind; the 8 m signal reaches across most living rooms, so you adjust the TV or AC while grabbing a snack.
4. Two AA batteries last over a year on standby, so you spend time watching movies, not hunting for fresh cells.
5. Zigbee keeps the command on your local network—even if Wi-Fi drops, the shades still close and the lights still dim when you press the button.",,,Input power: 3A battery x2 | Standby power: ≤0.5W | Control distance: ≤8m (finally affected by the environment) | Infrared frequency: 38KHZ | Working temperature: 0°C~50°C | Working humidity: ≤85% RH (no condensation) | Wireless protocol: Zigbee | Executive standard: GB/T9254- -2008 | Product Size: 68x68x27mm,Smart Devices
IR Universal Remote Control - zigbee gs-zs06-z,,Smart Sensors ,Tuaon,GS-ZS06-Zigbee,,"9,17 €","55,02 €",8.20,,,"WiFi/Zigbee IR remote controller for TV/AC
Unit weight: 26g
LED indicator: blue
Infrared range: less than 10m
Size: 50*50*19mm
Type C input: DC5V/1A
Infrared frequency: 35KHZ
WiFi frequency: IEEE802.15.4, 2.4GHz","1. Turn every screen and AC in the house off without leaving the couch, so bedtime really ends at lights-out.
2. Walk into a room that’s already cool—one tap on your phone starts the AC before you get upstairs.
3. Never wonder if the TV is still on downstairs; a glance at your phone shows and lets you click it off from bed.
4. Shrink the next power bill by shutting idle electronics from the grocery line instead of letting them run empty all day.
5. Replace five separate remotes with one tiny white square that hides behind a picture frame and just works.",,,"WiFi/Zigbee IR remote controller for TV/AC | Unit weight: 26g | LED indicator: blue | Infrared range: less than 10m | Size: 505019mm | Type C input: DC5V/1A | Infrared frequency: 35KHZ | WiFi frequency: IEEE802.15.4, 2.4GHz",Smart Devices
IR Universal Remote Control,,Smart Sensors ,Tuaon,GS-ZS06-Wifi,,"8,20 €","49,20 €",5.50,,,"WiFi/Zigbee IR remote controller for TV/AC
Unit weight: 26g
LED indicator: blue
Infrared range: less than 10m
Size: 50*50*19mm
Type C input: DC5V/1A
Infrared frequency: 35KHZ
WiFi frequency: IEEE802.15.4, 2.4GHz","1. Turn every AC and TV into a phone-controlled device so you can kill the last-minute “Did I leave it on?” worry from bed or the beach.
2. Replace a coffee-table full of remotes with one pocket-size square that never slides between couch cushions.
3. Drop the room to the perfect sleep temperature without getting up—tap once, roll over, stay cozy.
4. Shut off forgotten electronics from upstairs and watch the energy bill edge down without changing your routine.
5. Plug it in once, hide the tiny block behind the TV, and forget it exists—control is now just a swipe away.",,,"WiFi/Zigbee IR remote controller for TV/AC | Unit weight: 26g | LED indicator: blue | Infrared range: less than 10m | Size: 505019mm | Type C input: DC5V/1A | Infrared frequency: 35KHZ | WiFi frequency: IEEE802.15.4, 2.4GHz",Smart Devices
"3.5"" Screen with 3 gang Relay and IR (Wtihout Gateway)",,Smart Control Panel,Tuya,GS-TPP06,,"5,50 €","33,00 €",36.70,,,"Smart Control Panel Mini is a 2024 new released smart control panel mini version.
It is a multifunctional interactive device that
integrates a screen, three physical buttons, three relay channels, and
infrared remote control.
Specification:
Input: 100-240V, 50/60Hz
Wireless protocol: WiFi, Built in IR universal remote control
Max load ratings: Tungsten/Incandescent 200W
Dimmable CFL/LED 200W
Ballast/Fluorescent 200VA
Working temper*ature: 0 ℃ ~40 ℃ Working Humidity: 5% ~90% RH non-condensing
Product size:
86*86*11.5mm (base excluded)
86*86*35.50mm (base","1. Dim the lights for movie night without leaving the couch—three built-in relays let you command any lamp, fan, or porch light from one slim wall plate.
2. Tap once to turn off every plugged-in device before bed, so standby gadgets stop sipping power and your bill quietly drops.
3. Replace three separate switches with a single, flush 3.5-inch panel that sits only 11 mm deep—your wall stays clean, your fingers stay safe from stray screws.
4. Check and control each light while you’re away on vacation; the Wi-Fi link means the house looks lived-in even when you’re not.
5. Teach it your old AC remote in under a minute—now the same panel that runs the lights can cool the room, no extra gadgets or rewiring needed.",,,"Product Name: Smart Control Panel Mini 2024 new released smart control panel mini version | Description: multifunctional interactive device that integrates a screen, three physical buttons, three relay channels, and infrared remote control | Input: 100-240V, 50/60Hz | Wireless protocol: WiFi, Built in IR universal remote control | Max load ratings Tungsten/Incandescent: 200W | Max load ratings Dimmable CFL/LED: 200W | Max load ratings Ballast/Fluorescent: 200VA | Working temperature: 0 ℃ ~40 ℃ | Working Humidity: 5% ~90% RH non-condensing | Product size base excluded: 868611.5mm | Product size base included: 868635.50mm",Smart Devices
"4"" touch smart voice control panel with built-in
Alexa (gateway)",,Smart Control Panel,Tuya,T1E-TPP01-Z,,"1 000,00 €","6 000,00 €",55,,,"T1E is a Tuya smart central control panel integrated with Tuya smart home
gateway + built-in Alexa voice control (English, Spanish, German & French) +
super Zigbee device compatibility + group dimming system.
Main Features:
1. A best althernative of tuya ZigBee gateway at home, 100+ Zigbee sub-devices can be added in.
2. 3 Control modes at diffferent distance with 3 themes
3. Multimedia interconnection function. Add smart doorbell and smart camera, which will show the
screen outside the door when someone rings the bell, contributing a higher level of security to the family.
4. Support group wireless dimming lighting. Works with zigbee dimming driver, can realize single light
and group lights dimming.
Chinese;Chinese;English;Spanish;French;Arabic;German;Portuguese;Italian;Korean;Japanese;Hindi;Gr
eek;Polish;Hungarian;Czech;Slovak;Hebrew;
T1E
Package size:36.5*25.5*21cm
12PC/box 3.38kg","1. Know who’s at the door before you answer—see the camera feed right on the wall when the bell rings.
2. Speak once, lights obey—tell Alexa to dim every lamp in the room without leaving the couch.
3. One switch now runs 100+ Zigbee bulbs, plugs, and sensors—no extra hubs crowding your shelf.
4. Cut evening energy waste—slide a finger to dim whole groups of lights instead of walking room to room.
5. Control everything in your language—tap, talk, or wave from inches away or across the kitchen, no manual needed.",,,"T1E is a Tuya smart central control panel integrated with Tuya smart home gateway + built-in Alexa voice control (English, Spanish, German & French) + super Zigbee device compatibility + group dimming system | Main Features: 1. A best alternative of tuya ZigBee gateway at home, 100+ Zigbee sub-devices can be added in | 2. 3 Control modes at different distance with 3 themes | 3. Multimedia interconnection function. Add smart doorbell and smart camera, which will show the screen outside the door when someone rings the bell, contributing a higher level of security to the family | 4. Support group wireless dimming lighting. Works with zigbee dimming driver, can realize single light and group lights dimming | Chinese;Chinese;English;Spanish;French;Arabic;German;Portuguese;Italian;Korean;Japanese;Hindi;Greek;Polish;Hungarian;Czech;Slovak;Hebrew | T1E | Package size:36.525.521cm | 12PC/box 3.38kg",Smart Devices
